nr;czas;koszt
0;0.0600173;7135
0;0.0601665;7119
0;0.0606529;7083
0;0.0677781;7069
0;0.0691916;7043
0;0.071772;7019
0;0.0731125;7015
0;0.0734708;7004
0;0.0746535;6990
0;0.0752737;6966
0;0.0755869;6938
0;0.0777416;6910
0;0.0793866;6892
0;0.0798174;6878
0;0.0805325;6864
0;0.082261;6799
0;0.0825574;6785
0;0.0836435;6738
0;0.0850272;6702
0;0.0896483;6682
0;0.0927056;6648
0;0.096314;6588
0;0.0964348;6566
0;0.0993083;6561
0;0.101492;6550
0;0.102822;6536
0;0.102988;6526
0;0.103787;6474
0;0.104786;6469
0;0.105141;6453
0;0.124963;6446
0;0.126632;6441
0;0.131008;6421
0;0.132598;6419
0;0.136165;6406
0;0.139071;6400
0;0.140068;6287
0;0.143573;6286
0;0.149532;6268
0;0.154391;6255
0;0.155255;6235
0;0.15606;6219
0;0.161935;6197
0;0.162234;6175
0;0.163103;6143
0;0.176565;6115
0;0.178776;6085
0;0.188744;6075
0;0.19014;6074
0;0.190905;6060
0;0.192486;6035
0;0.19939;6008
0;0.201184;5996
0;0.203779;5968
0;0.206022;5961
0;0.206136;5956
0;0.207071;5908
0;0.208036;5905
0;0.220735;5895
0;0.225973;5881
0;0.225976;5879
0;0.249403;5871
0;0.251896;5859
0;0.257264;5846
0;0.260467;5833
0;0.264502;5803
0;0.268102;5799
0;0.269157;5785
0;0.274657;5733
0;0.275966;5715
0;0.276275;5693
0;0.290033;5674
0;0.291529;5664
0;0.293728;5639
0;0.297148;5638
0;0.301473;5626
0;0.305721;5624
0;0.305964;5599
0;0.308406;5588
0;0.308972;5582
0;0.313991;5579
0;0.315051;5562
0;0.316376;5515
0;0.31673;5513
0;0.319422;5481
0;0.320763;5450
0;0.320821;5429
0;0.326271;5415
0;0.326996;5412
0;0.327017;5402
0;0.329122;5374
0;0.334953;5349
0;0.335342;5314
0;0.338944;5274
0;0.341408;5273
0;0.346813;5253
0;0.348264;5229
0;0.349846;5202
0;0.355799;5183
0;0.357472;5173
0;0.361595;5159
0;0.362799;5153
0;0.368465;5112
0;0.372373;5109
0;0.377067;5079
0;0.379687;5075
0;0.387946;5063
0;0.394085;5055
0;0.398445;5033
0;0.413809;5025
0;0.414168;5024
0;0.416606;5023
0;0.417533;5018
0;0.421259;5000
0;0.421544;4987
0;0.426311;4986
0;0.438575;4967
0;0.441752;4957
0;0.459474;4947
0;0.484873;4900
0;0.488769;4851
0;0.49657;4846
0;0.50201;4818
0;0.503227;4809
0;0.504569;4750
0;0.509059;4732
0;0.513171;4699
0;0.534511;4695
0;0.546807;4675
0;0.549823;4658
0;0.550132;4656
0;0.550939;4634
0;0.554401;4627
0;0.554531;4604
0;0.561155;4473
0;0.561407;4455
0;0.563595;4448
0;0.568087;4423
0;0.575457;4406
0;0.577044;4370
0;0.578651;4340
0;0.593676;4336
0;0.597962;4329
0;0.598425;4279
0;0.603675;4257
0;0.629585;4254
0;0.630963;4244
0;0.632399;4202
0;0.643261;4178
0;0.657793;4164
0;0.66322;4134
0;0.672686;4085
0;0.751676;4084
0;0.79891;4060
0;0.825676;4047
0;1.01289;4046
0;1.0682;4031
0;1.08257;4023
0;1.08352;3997
0;1.08682;3992
0;1.08829;3989
0;1.09077;3975
0;1.09419;3941
0;1.09991;3929
0;1.10247;3901
0;1.19461;3847
0;1.38171;3819
0;1.54663;3810
0;2.42981;3782
0;2.4352;3753
0;2.59421;3750
0;2.62352;3722
0;3.07773;3708
0;3.102;3687
0;3.20619;3684
1;4.4833e-05;7117
1;9.4583e-05;7108
1;0.000184833;7095
1;0.000242333;6977
1;0.000315583;6878
1;0.000412583;6792
1;0.000474;6724
1;0.000545333;6649
1;0.000760708;6558
1;0.00113237;6501
1;0.0011835;6414
1;0.00123562;6377
1;0.00127929;6261
1;0.0014265;6252
1;0.00187262;6230
1;0.00196121;6228
1;0.00214225;6219
1;0.00219033;6197
1;0.00234679;6191
1;0.00253979;6106
1;0.00349154;6070
1;0.003825;6048
1;0.00416775;6030
1;0.0046665;5969
1;0.00656658;5966
1;0.00705408;5917
1;0.00731304;5869
1;0.0074085;5810
1;0.00804154;5805
1;0.00804425;5787
1;0.00827996;5745
