nr;czas;koszt
0;0.0427727;3530
0;0.0433422;3529
0;0.0442891;3528
0;0.0447853;3527
0;0.044942;3524
0;0.0449692;3523
0;0.0458138;3522
0;0.0466102;3505
0;0.0468599;3504
0;0.0471914;3495
0;0.0478081;3494
0;0.0485342;3489
0;0.0506836;3487
0;0.0513233;3479
0;0.0522531;3478
0;0.0529161;3477
0;0.0532448;3476
0;0.0540272;3475
0;0.05454;3469
0;0.0546141;3463
0;0.0561052;3459
0;0.0562332;3458
0;0.0562558;3449
0;0.0564348;3435
0;0.0565235;3433
0;0.0565833;3432
0;0.0567718;3431
0;0.056952;3429
0;0.0572872;3428
0;0.0573728;3427
0;0.0574739;3423
0;0.05954;3420
0;0.0595645;3413
0;0.0602591;3403
0;0.060913;3395
0;0.0611214;3393
0;0.0616549;3392
0;0.062007;3390
0;0.0620566;3386
0;0.0623449;3385
0;0.0625998;3381
0;0.0629031;3380
0;0.0634648;3372
0;0.0661623;3371
0;0.0670959;3365
0;0.0683133;3360
0;0.0690193;3358
0;0.0696485;3356
0;0.0702238;3355
0;0.0705876;3352
0;0.071703;3350
0;0.071887;3349
0;0.0725454;3346
0;0.0726775;3345
0;0.0728466;3341
0;0.0734907;3339
0;0.073569;3338
0;0.0740698;3336
0;0.0743579;3335
0;0.0744345;3333
0;0.0764324;3330
0;0.078453;3317
0;0.0791666;3314
0;0.0797094;3312
0;0.0802145;3311
0;0.081368;3310
0;0.0814149;3309
0;0.0814617;3304
0;0.0823373;3302
0;0.0841208;3301
0;0.084389;3293
0;0.0872689;3284
0;0.087843;3283
0;0.0886639;3280
0;0.0891742;3278
0;0.0891921;3277
0;0.0892715;3276
0;0.0893012;3271
0;0.0893118;3269
0;0.0896671;3264
0;0.0906741;3263
0;0.0912653;3259
0;0.0916312;3251
0;0.0933247;3250
0;0.093961;3245
0;0.0939713;3238
0;0.0949323;3227
0;0.0949545;3221
0;0.0952553;3220
0;0.0956593;3216
0;0.0957295;3213
0;0.0957571;3212
0;0.0959167;3207
0;0.0983848;3204
0;0.0984267;3201
0;0.0985826;3200
0;0.0990588;3198
0;0.0998847;3194
0;0.100161;3190
0;0.101811;3188
0;0.10554;3186
0;0.107516;3183
0;0.107866;3177
0;0.107927;3174
0;0.108413;3173
0;0.108677;3172
0;0.108934;3170
0;0.109321;3166
0;0.111032;3160
0;0.112654;3154
0;0.113473;3153
0;0.113782;3139
0;0.114395;3137
0;0.115869;3133
0;0.116014;3128
0;0.116156;3127
0;0.117202;3126
0;0.117458;3123
0;0.118522;3115
0;0.118875;3114
0;0.119548;3113
0;0.122237;3110
0;0.123236;3108
0;0.125224;3106
0;0.125559;3105
0;0.126701;3097
0;0.128446;3090
0;0.130736;3085
0;0.131031;3083
0;0.131729;3079
0;0.133655;3072
0;0.13685;3063
0;0.136925;3059
0;0.138365;3056
0;0.138573;3055
0;0.141105;3049
0;0.142797;3043
0;0.145592;3035
0;0.146412;3031
0;0.148046;3022
0;0.148687;3014
0;0.151918;3010
0;0.154985;3009
0;0.156251;3008
0;0.157637;3007
0;0.157977;3005
0;0.158264;3004
0;0.158272;3002
0;0.16575;3001
0;0.16703;2999
0;0.167558;2998
0;0.167968;2997
0;0.168092;2992
0;0.168714;2986
0;0.17003;2983
0;0.171799;2981
0;0.173304;2980
0;0.175249;2975
0;0.177074;2972
0;0.178271;2967
0;0.180835;2966
0;0.184697;2965
0;0.184736;2964
0;0.185646;2958
0;0.18595;2950
0;0.186323;2946
0;0.187371;2945
0;0.190797;2944
0;0.192348;2943
0;0.19612;2936
0;0.197931;2933
0;0.199797;2930
0;0.201573;2928
0;0.203767;2927
0;0.206441;2926
0;0.209994;2919
0;0.211519;2917
0;0.213671;2916
0;0.215645;2914
0;0.21834;2905
0;0.218663;2901
0;0.223354;2897
0;0.223941;2893
0;0.226043;2885
0;0.227631;2882
0;0.233931;2879
0;0.237219;2878
0;0.238992;2877
0;0.241469;2873
0;0.244463;2868
0;0.247262;2865
0;0.248359;2861
0;0.25202;2860
0;0.257353;2858
0;0.257638;2847
0;0.260192;2844
0;0.270312;2842
0;0.270673;2841
0;0.271203;2839
0;0.271325;2837
0;0.273456;2829
0;0.277512;2828
0;0.282929;2827
0;0.287192;2819
0;0.293009;2815
0;0.293427;2810
0;0.313432;2808
0;0.31651;2804
0;0.31852;2800
0;0.323566;2798
0;0.324229;2795
0;0.32916;2794
0;0.332763;2793
0;0.334944;2791
0;0.342584;2790
0;0.353998;2783
0;0.357664;2782
0;0.357845;2773
0;0.370737;2772
0;0.371512;2762
0;0.371573;2760
0;0.374733;2759
0;0.383803;2758
0;0.387324;2756
0;0.388227;2753
0;0.389946;2744
0;0.397542;2742
0;0.399136;2741
0;0.402278;2739
0;0.40554;2738
0;0.408101;2737
0;0.40923;2735
0;0.411335;2727
0;0.413906;2725
0;0.431878;2723
0;0.435381;2722
0;0.446398;2721
0;0.473059;2713
0;0.479851;2711
0;0.509853;2705
0;0.521075;2702
0;0.563266;2701
0;0.572355;2698
0;0.5776;2690
0;0.603939;2686
0;0.625698;2679
